YEAR,MO,DY,HR,PRECTOTCORR,T2M,T2MDEW
2022,1,7,10,0.0,-1.0,-3.92

2022,1,7,11,0.0,0.15,-4.03

2022,1,7,12,0.01,0.61,-4.27

2022,1,7,13,0.01,0.5,-4.63

2022,1,7,14,0.01,-0.01,-5.17

2022,1,7,15,0.01,-0.87,-5.74

2022,1,7,16,0.01,-1.88,-6.14

2022,1,7,17,0.01,-2.55,-6.38

2022,1,7,18,0.0,-3.19,-6.7

2022,1,7,19,0.0,-3.56,-6.89

2022,1,7,20,0.0,-4.1,-7.25

2022,1,7,21,0.0,-4.59,-7.83

2022,1,7,22,0.0,-5.16,-8.67

2022,1,7,23,0.0,-5.71,-9.29

2022,1,8,0,0.0,-6.1,-9.49

2022,1,8,1,0.0,-6.42,-9.61

2022,1,8,2,0.0,-6.77,-9.71

2022,1,8,3,0.0,-7.07,-9.88

2022,1,8,4,0.0,-7.38,-10.12

2022,1,8,5,0.0,-7.85,-10.38

2022,1,8,6,0.0,-8.59,-10.92

2022,1,8,7,0.0,-9.1,-11.42

2022,1,8,8,0.0,-7.6,-10.95

2022,1,8,9,0.0,-6.03,-10.45

2022,1,8,10,0.0,-4.58,-10.17

2022,1,8,11,0.0,-3.21,-9.77

2022,1,8,12,0.0,-2.13,-9.42

2022,1,8,13,0.0,-1.45,-9.34

2022,1,8,14,0.0,-1.21,-9.51

2022,1,8,15,0.0,-1.77,-9.74

2022,1,8,16,0.0,-3.36,-9.95

2022,1,8,17,0.0,-4.75,-10.21

2022,1,8,18,0.0,-5.92,-9.7

2022,1,8,19,0.0,-6.41,-9.42

2022,1,8,20,0.0,-6.39,-9.07

2022,1,8,21,0.0,-6.02,-8.48

2022,1,8,22,0.0,-5.5,-7.74

2022,1,8,23,0.0,-5.32,-7.31

2022,1,9,0,0.02,-4.95,-6.74

2022,1,9,1,0.02,-4.6,-6.27

2022,1,9,2,0.02,-4.95,-6.09

2022,1,9,3,0.0,-5.12,-5.94

2022,1,9,4,0.0,-4.75,-5.62

2022,1,9,5,0.0,-4.09,-5.02

2022,1,9,6,0.05,-3.5,-4.29

2022,1,9,7,0.01,-2.63,-3.35

2022,1,9,8,0.04,-0.45,-1.69

2022,1,9,9,0.07,0.73,-0.73

2022,1,9,10,0.03,1.55,-0.51

2022,1,9,11,0.03,2.61,-0.73

2022,1,9,12,0.06,2.36,-0.66

2022,1,9,13,0.05,2.07,-0.0

2022,1,9,14,0.31,2.4,0.66

2022,1,9,15,0.63,2.27,1.14

2022,1,9,16,0.63,1.95,1.28

2022,1,9,17,0.79,1.73,1.26

2022,1,9,18,0.64,1.54,1.2

2022,1,9,19,0.22,1.48,1.17

2022,1,9,20,0.18,1.33,1.12

2022,1,9,21,0.22,1.15,0.98

2022,1,9,22,0.1,1.07,0.9

2022,1,9,23,0.01,0.98,0.84

2022,1,10,0,0.0,0.98,0.45

2022,1,10,1,0.0,0.44,-1.27

2022,1,10,2,0.0,-0.8,-3.8

2022,1,10,3,0.0,-1.95,-5.92

2022,1,10,4,0.0,-2.79,-7.17

2022,1,10,5,0.0,-3.81,-7.95

2022,1,10,6,0.0,-4.73,-8.68

2022,1,10,7,0.0,-5.3,-9.09

2022,1,10,8,0.0,-4.31,-9.06

2022,1,10,9,0.0,-3.56,-9.43

2022,1,10,10,0.0,-3.03,-9.71

2022,1,10,11,0.0,-2.51,-9.8

2022,1,10,12,0.0,-2.18,-9.79

2022,1,10,13,0.0,-2.1,-9.77

2022,1,10,14,0.0,-2.37,-9.81

2022,1,10,15,0.0,-3.16,-9.81

2022,1,10,16,0.0,-4.33,-9.62

2022,1,10,17,0.0,-4.79,-9.32

2022,1,10,18,0.0,-4.94,-9.13

2022,1,10,19,0.0,-5.51,-8.86

2022,1,10,20,0.0,-5.68,-8.56

2022,1,10,21,0.0,-6.04,-8.56

2022,1,10,22,0.0,-6.55,-8.79

2022,1,10,23,0.0,-6.78,-9.05

2022,1,11,0,0.0,-6.88,-9.52

2022,1,11,1,0.0,-6.95,-10.32

2022,1,11,2,0.0,-7.5,-11.58

2022,1,11,3,0.0,-8.46,-12.26

2022,1,11,4,0.0,-9.04,-12.42

2022,1,11,5,0.0,-9.44,-12.77

2022,1,11,6,0.0,-10.37,-14.17

2022,1,11,7,0.0,-11.45,-15.42

2022,1,11,8,0.0,-11.48,-15.95

2022,1,11,9,0.0,-10.77,-15.9

2022,1,11,10,0.0,-9.86,-15.52

2022,1,11,11,0.0,-8.98,-15.11

2022,1,11,12,0.0,-8.34,-14.77

2022,1,11,13,0.0,-7.95,-14.52

2022,1,11,14,0.0,-7.89,-14.38

2022,1,11,15,0.0,-8.44,-14.35

2022,1,11,16,0.0,-10.02,-14.49

2022,1,11,17,0.0,-11.02,-13.74

2022,1,11,18,0.0,-11.31,-13.71

2022,1,11,19,0.0,-11.31,-13.99

2022,1,11,20,0.0,-10.92,-14.92

2022,1,11,21,0.0,-10.71,-15.66

2022,1,11,22,0.0,-11.19,-14.95

2022,1,11,23,0.0,-11.48,-14.17

2022,1,12,0,0.0,-11.23,-13.56

2022,1,12,1,0.0,-10.51,-12.78

2022,1,12,2,0.0,-9.62,-11.94

2022,1,12,3,0.0,-9.24,-11.46

2022,1,12,4,0.0,-9.06,-11.0

2022,1,12,5,0.0,-8.81,-10.42

2022,1,12,6,0.0,-8.34,-9.67

2022,1,12,7,0.0,-7.47,-8.87

2022,1,12,8,0.0,-5.01,-7.35

2022,1,12,9,0.0,-2.61,-6.4

2022,1,12,10,0.0,-0.7,-5.78

2022,1,12,11,0.0,0.74,-4.96

2022,1,12,12,0.0,1.8,-3.96

2022,1,12,13,0.0,2.48,-3.06

2022,1,12,14,0.0,2.68,-2.33

2022,1,12,15,0.0,1.98,-1.51

2022,1,12,16,0.0,-0.68,-2.36

2022,1,12,17,0.0,-1.56,-2.99

2022,1,12,18,0.0,-1.63,-3.02

2022,1,12,19,0.0,-1.62,-2.95

2022,1,12,20,0.0,-1.64,-2.95

2022,1,12,21,0.0,-1.63,-3.05

2022,1,12,22,0.0,-1.57,-3.13

2022,1,12,23,0.0,-1.52,-3.2

2022,1,13,0,0.0,-1.46,-3.27

2022,1,13,1,0.0,-1.62,-3.38

2022,1,13,2,0.0,-1.81,-3.44

2022,1,13,3,0.0,-1.85,-3.41

2022,1,13,4,0.0,-1.72,-3.42

2022,1,13,5,0.0,-1.43,-3.49

2022,1,13,6,0.0,-1.45,-3.6

2022,1,13,7,0.0,-1.53,-3.64

2022,1,13,8,0.0,-0.6,-2.49

2022,1,13,9,0.0,1.25,-2.02

2022,1,13,10,0.0,3.54,-1.22

2022,1,13,11,0.0,5.64,-0.74

2022,1,13,12,0.0,6.3,-0.11

2022,1,13,13,0.0,5.98,0.88

2022,1,13,14,0.0,5.05,2.25

2022,1,13,15,0.0,3.48,0.76

2022,1,13,16,0.0,2.39,-0.43

2022,1,13,17,0.0,1.53,-0.58

2022,1,13,18,0.0,0.9,-0.4

2022,1,13,19,0.0,0.76,-0.08

2022,1,13,20,0.0,0.76,0.26

2022,1,13,21,0.0,0.76,0.56

2022,1,13,22,0.0,0.81,0.79

2022,1,13,23,0.0,0.98,0.98

2022,1,14,0,0.0,1.07,1.0

2022,1,14,1,0.0,0.93,0.75

2022,1,14,2,0.0,0.68,0.41

2022,1,14,3,0.0,0.52,0.18

2022,1,14,4,0.0,0.53,0.15

2022,1,14,5,0.0,0.58,0.18

2022,1,14,6,0.0,0.51,0.11

2022,1,14,7,0.0,0.44,-0.04

2022,1,14,8,0.0,1.37,0.29

2022,1,14,9,0.0,2.58,0.65

2022,1,14,10,0.0,3.44,0.82

2022,1,14,11,0.0,3.69,0.65

2022,1,14,12,0.0,3.51,0.11

2022,1,14,13,0.0,3.1,-0.65

2022,1,14,14,0.0,2.5,-1.4

2022,1,14,15,0.0,1.62,-2.18

2022,1,14,16,0.0,0.39,-3.1

2022,1,14,17,0.0,-0.83,-4.28

2022,1,14,18,0.0,-2.16,-5.77

2022,1,14,19,0.0,-3.6,-7.38

2022,1,14,20,0.0,-5.01,-8.99

2022,1,14,21,0.0,-6.27,-10.42

2022,1,14,22,0.0,-7.29,-11.66

2022,1,14,23,0.0,-8.22,-12.86

2022,1,15,0,0.0,-9.18,-13.91

2022,1,15,1,0.0,-10.16,-14.81

2022,1,15,2,0.0,-11.12,-15.58

2022,1,15,3,0.0,-12.13,-16.2

2022,1,15,4,0.0,-12.97,-16.81

2022,1,15,5,0.0,-13.64,-17.4

2022,1,15,6,0.0,-14.23,-17.87

2022,1,15,7,0.0,-14.62,-18.24

2022,1,15,8,0.0,-14.0,-18.49

2022,1,15,9,0.0,-12.77,-18.42

2022,1,15,10,0.0,-11.38,-18.02

2022,1,15,11,0.0,-10.08,-17.45

2022,1,15,12,0.0,-8.93,-16.92

2022,1,15,13,0.0,-8.28,-16.44

2022,1,15,14,0.0,-8.27,-16.1

2022,1,15,15,0.0,-8.69,-15.83

2022,1,15,16,0.0,-9.27,-15.66

2022,1,15,17,0.0,-9.82,-15.56

2022,1,15,18,0.0,-10.31,-15.55

2022,1,15,19,0.0,-11.08,-15.57

2022,1,15,20,0.0,-11.95,-15.5

2022,1,15,21,0.0,-12.62,-15.42

2022,1,15,22,0.0,-13.16,-15.53

2022,1,15,23,0.0,-13.69,-15.64

2022,1,16,0,0.0,-14.14,-15.89

2022,1,16,1,0.0,-14.46,-16.33

2022,1,16,2,0.0,-14.67,-16.54

2022,1,16,3,0.0,-14.84,-16.52

2022,1,16,4,0.0,-15.08,-16.43

2022,1,16,5,0.0,-15.37,-16.38

2022,1,16,6,0.0,-15.52,-16.33

2022,1,16,7,0.0,-15.14,-16.14

2022,1,16,8,0.0,-13.18,-15.7

2022,1,16,9,0.0,-10.65,-14.85

2022,1,16,10,0.0,-8.26,-13.38

2022,1,16,11,0.0,-6.13,-11.55

2022,1,16,12,0.0,-4.11,-9.63

2022,1,16,13,0.01,-2.77,-7.91

2022,1,16,14,0.01,-2.21,-6.41

2022,1,16,15,0.02,-2.24,-5.3

2022,1,16,16,0.02,-2.31,-4.63

2022,1,16,17,0.07,-1.85,-3.95

2022,1,16,18,0.13,-1.22,-3.01

2022,1,16,19,0.33,-0.56,-1.97

2022,1,16,20,0.53,0.06,-1.03

2022,1,16,21,0.85,0.7,-0.08

2022,1,16,22,1.05,1.27,0.74

2022,1,16,23,1.73,1.87,1.35

2022,1,17,0,3.0,2.27,1.8

2022,1,17,1,3.38,2.48,2.07

2022,1,17,2,4.0,3.01,2.58

2022,1,17,3,5.93,3.85,3.43

2022,1,17,4,6.45,4.9,4.43

2022,1,17,5,3.52,5.78,5.62

2022,1,17,6,1.2,5.5,5.3

2022,1,17,7,0.45,3.8,3.13

2022,1,17,8,0.07,2.82,1.76

2022,1,17,9,0.05,2.57,1.0

2022,1,17,10,0.09,2.58,0.34

2022,1,17,11,0.11,2.72,0.16

2022,1,17,12,0.11,2.76,0.3

2022,1,17,13,0.08,2.76,0.4

2022,1,17,14,0.04,2.54,0.23

2022,1,17,15,0.03,2.07,0.11

2022,1,17,16,0.04,1.26,-0.1

2022,1,17,17,0.09,0.84,-0.28

2022,1,17,18,0.09,0.51,-0.67

2022,1,17,19,0.05,-0.07,-1.58

2022,1,17,20,0.05,-0.65,-2.62

2022,1,17,21,0.08,-1.09,-3.24

2022,1,17,22,0.05,-1.29,-3.54

2022,1,17,23,0.01,-1.39,-3.7

2022,1,18,0,0.0,-1.45,-3.81

2022,1,18,1,0.01,-1.49,-4.34

2022,1,18,2,0.0,-2.03,-5.58

2022,1,18,3,0.0,-2.88,-6.56

2022,1,18,4,0.0,-3.52,-7.05

2022,1,18,5,0.0,-3.55,-7.11

2022,1,18,6,0.0,-3.41,-6.97

2022,1,18,7,0.0,-3.12,-6.6

2022,1,18,8,0.0,-2.13,-5.92

2022,1,18,9,0.0,-0.73,-5.56

2022,1,18,10,0.0,0.17,-5.77

2022,1,18,11,0.01,0.34,-6.23

2022,1,18,12,0.0,0.06,-6.7

2022,1,18,13,0.0,-0.1,-6.85

2022,1,18,14,0.0,-0.57,-6.89

2022,1,18,15,0.0,-1.45,-6.99

2022,1,18,16,0.0,-2.61,-7.08

2022,1,18,17,0.0,-3.57,-7.21

2022,1,18,18,0.0,-4.19,-7.22

2022,1,18,19,0.0,-4.67,-7.08

2022,1,18,20,0.0,-5.07,-7.01

2022,1,18,21,0.0,-5.41,-7.06

2022,1,18,22,0.0,-5.56,-7.12

2022,1,18,23,0.0,-5.27,-7.23

2022,1,19,0,0.0,-4.74,-7.64

2022,1,19,1,0.0,-4.67,-7.9

2022,1,19,2,0.0,-5.35,-7.32

2022,1,19,3,0.0,-5.35,-6.81

2022,1,19,4,0.0,-4.45,-5.93

2022,1,19,5,0.0,-3.55,-5.07

2022,1,19,6,0.0,-2.33,-4.08

2022,1,19,7,0.0,-1.28,-3.23

2022,1,19,8,0.0,-0.08,-2.28

2022,1,19,9,0.0,1.28,-1.15

2022,1,19,10,0.0,2.77,-0.05

2022,1,19,11,0.0,3.86,0.51

2022,1,19,12,0.0,4.5,0.69

2022,1,19,13,0.0,5.26,1.05

2022,1,19,14,0.0,5.56,1.57

2022,1,19,15,0.0,4.89,1.91

2022,1,19,16,0.0,3.08,1.47

2022,1,19,17,0.0,2.67,1.44

2022,1,19,18,0.0,2.21,1.5

2022,1,19,19,0.0,2.18,1.55

2022,1,19,20,0.0,2.16,1.58

2022,1,19,21,0.0,2.05,1.58

2022,1,19,22,0.0,2.05,1.6

2022,1,19,23,0.0,1.61,1.4

2022,1,20,0,0.02,0.84,0.96

2022,1,20,1,0.15,0.85,0.87

2022,1,20,2,0.41,1.28,1.07

2022,1,20,3,0.59,1.14,0.99

2022,1,20,4,0.59,1.25,0.98

2022,1,20,5,0.76,1.04,0.72

2022,1,20,6,0.6,0.61,0.15

2022,1,20,7,0.83,0.34,-0.45

2022,1,20,8,0.6,0.13,-1.04

2022,1,20,9,0.4,-0.1,-1.85

2022,1,20,10,0.26,-0.24,-2.59

2022,1,20,11,0.2,-0.38,-3.35

2022,1,20,12,0.15,-0.31,-3.9

2022,1,20,13,0.1,0.08,-4.39

2022,1,20,14,0.04,0.12,-4.88

2022,1,20,15,0.01,-0.59,-5.2

2022,1,20,16,0.0,-1.95,-5.74

2022,1,20,17,0.0,-3.34,-7.01

2022,1,20,18,0.0,-4.64,-8.57

2022,1,20,19,0.0,-5.56,-9.74

2022,1,20,20,0.0,-6.27,-10.36

2022,1,20,21,0.0,-6.81,-10.76

2022,1,20,22,0.0,-7.45,-11.25

2022,1,20,23,0.0,-8.25,-11.86

2022,1,21,0,0.0,-8.9,-12.42

2022,1,21,1,0.0,-9.43,-12.85

2022,1,21,2,0.0,-9.97,-13.26

2022,1,21,3,0.0,-10.7,-13.67

2022,1,21,4,0.0,-11.52,-14.14

2022,1,21,5,0.0,-12.13,-14.61

2022,1,21,6,0.0,-12.45,-15.01

2022,1,21,7,0.0,-12.33,-15.2

2022,1,21,8,0.0,-11.7,-15.27

2022,1,21,9,0.0,-10.71,-15.1

2022,1,21,10,0.0,-9.34,-14.62

2022,1,21,11,0.0,-7.88,-14.02

2022,1,21,12,0.0,-6.6,-13.33

2022,1,21,13,0.0,-5.79,-12.72

2022,1,21,14,0.0,-5.5,-12.31

2022,1,21,15,0.0,-6.0,-12.0

2022,1,21,16,0.0,-7.4,-11.9

2022,1,21,17,0.0,-8.54,-11.78

2022,1,21,18,0.0,-9.17,-11.92

2022,1,21,19,0.0,-9.67,-12.17

2022,1,21,20,0.0,-10.03,-12.39

2022,1,21,21,0.0,-10.21,-12.66

2022,1,21,22,0.0,-10.25,-12.74

2022,1,21,23,0.0,-10.31,-12.78

2022,1,22,0,0.0,-10.57,-12.9

2022,1,22,1,0.0,-10.93,-13.11

2022,1,22,2,0.0,-11.29,-13.42

2022,1,22,3,0.0,-11.76,-13.77

2022,1,22,4,0.0,-12.4,-14.18

2022,1,22,5,0.0,-13.27,-14.63

2022,1,22,6,0.0,-14.09,-15.1

2022,1,22,7,0.0,-14.33,-15.39

2022,1,22,8,0.0,-12.4,-14.81

2022,1,22,9,0.0,-9.72,-13.43

2022,1,22,10,0.0,-7.13,-11.55

2022,1,22,11,0.0,-4.73,-10.35

2022,1,22,12,0.0,-2.95,-10.32

2022,1,22,13,0.0,-2.1,-10.68

2022,1,22,14,0.0,-1.99,-10.72

2022,1,22,15,0.0,-2.67,-10.04

2022,1,22,16,0.0,-4.08,-10.03

2022,1,22,17,0.0,-4.77,-11.6

2022,1,22,18,0.0,-5.62,-11.32

2022,1,22,19,0.0,-6.67,-11.07

2022,1,22,20,0.0,-6.98,-10.2

2022,1,22,21,0.0,-7.77,-10.49

2022,1,22,22,0.0,-8.5,-10.96

2022,1,22,23,0.0,-8.59,-10.84

2022,1,23,0,0.0,-8.75,-10.81

2022,1,23,1,0.0,-9.18,-10.92

2022,1,23,2,0.0,-9.57,-11.02

2022,1,23,3,0.0,-9.8,-11.03

2022,1,23,4,0.0,-10.02,-11.03

2022,1,23,5,0.0,-10.24,-11.1

2022,1,23,6,0.0,-10.1,-11.01

2022,1,23,7,0.0,-9.08,-10.51

2022,1,23,8,0.0,-7.45,-9.64

2022,1,23,9,0.0,-5.74,-8.58

2022,1,23,10,0.0,-3.09,-7.47

2022,1,23,11,0.0,-0.6,-7.01

2022,1,23,12,0.0,0.42,-6.59

2022,1,23,13,0.0,0.87,-6.27

2022,1,23,14,0.0,0.87,-5.85

2022,1,23,15,0.0,0.26,-4.83

2022,1,23,16,0.0,-1.55,-4.12

2022,1,23,17,0.01,-2.32,-4.49

2022,1,23,18,0.01,-2.44,-4.32

2022,1,23,19,0.02,-2.56,-4.13

2022,1,23,20,0.02,-2.77,-4.02

2022,1,23,21,0.01,-2.95,-4.01

2022,1,23,22,0.01,-3.05,-4.06

2022,1,23,23,0.01,-3.28,-4.17

2022,1,24,0,0.01,-3.63,-4.27

2022,1,24,1,0.01,-3.75,-4.31

2022,1,24,2,0.01,-4.17,-4.63

2022,1,24,3,0.01,-4.45,-5.06

2022,1,24,4,0.01,-5.03,-5.67

2022,1,24,5,0.01,-5.45,-6.31

2022,1,24,6,0.0,-6.06,-7.17

2022,1,24,7,0.0,-6.32,-7.88

2022,1,24,8,0.0,-5.18,-8.15

2022,1,24,9,0.0,-3.65,-8.35

2022,1,24,10,0.0,-2.07,-8.14

2022,1,24,11,0.0,-0.89,-8.26

2022,1,24,12,0.0,-0.17,-8.18

2022,1,24,13,0.0,0.22,-7.7

2022,1,24,14,0.0,0.04,-7.16

2022,1,24,15,0.0,-0.65,-6.51

2022,1,24,16,0.0,-2.1,-5.05

2022,1,24,17,0.0,-2.42,-4.88

2022,1,24,18,0.0,-2.21,-4.66

2022,1,24,19,0.01,-2.04,-4.26

2022,1,24,20,0.01,-1.94,-3.88

2022,1,24,21,0.03,-1.81,-3.6

2022,1,24,22,0.03,-1.62,-3.21

2022,1,24,23,0.02,-1.35,-2.7

2022,1,25,0,0.01,-0.97,-2.13

2022,1,25,1,0.01,-0.33,-1.36

2022,1,25,2,0.01,-0.27,-0.9

2022,1,25,3,0.01,-0.62,-0.81

2022,1,25,4,0.0,-0.99,-1.0

2022,1,25,5,0.0,-1.68,-1.59

2022,1,25,6,0.0,-2.62,-2.42

2022,1,25,7,0.0,-2.6,-2.96

2022,1,25,8,0.0,-0.59,-2.37

2022,1,25,9,0.0,1.39,-1.41

2022,1,25,10,0.0,3.17,-1.21

2022,1,25,11,0.0,3.89,-1.65

2022,1,25,12,0.0,4.19,-1.88

